价格（￥）,名称,sku,药品通用名,有效期,药品分类,剂型,储存条件,使用剂量,适用症/功能主治,不良反应,儿童用药,老年用药,禁忌,批准文号
￥1.20,好立康   风油精   3ml/瓶,1.00074E+11,风油精,36,（非处方药）中成药,其他,密闭，置阴凉处。,详见说明书。,清凉，止痛，驱风，止痒。详见说明书且遵医嘱使用。,未知,未知,未知,未知,国药准字Z44023635
￥9.90,"金嗓子润喉片喉片2g*6片*2板/盒疏风清热，解毒利咽，芳香辟秽。适用于改善急性咽炎所致的咽喉肿痛,干燥灼热，声音嘶哑；",2943786,金嗓子喉片,36,（非处方药）中成药,片剂,"密封,置干燥处",详见说明书。,本品适用于改善急性咽炎所致的咽喉肿痛，干燥灼热，声音嘶哑。,详见说明书。,详见说明书。,详见说明书。,详见说明书。,国药准字B20020993
￥13.50,快克 复方氨酚烷胺胶囊16粒 适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状,1.00016E+11,复方氨酚烷胺胶囊,36,（非处方药）化学药制剂,胶囊剂,密封，置阴凉（不超过20℃）干燥处。,口服，成人，一次1粒，一日2次。,本品用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状，也可用于流行性感冒的预防和治疗。,偶尔有轻度头晕、乏力、恶心、上腹不适、口干、食欲缺乏和皮疹等，可自行恢复。,未知,未知,严重肝肾功能不全者禁用。对本品过敏者禁用。,国药准字H46020636
￥3.70,百灵鸟 贵州百灵 黄连上清片0.3g*48片 清热泻火 止痛 头晕目眩 牙齿疼痛 口舌生疮 咽喉肿痛 耳鸣,1.00016E+11,黄连上清片,24,（非处方药）中成药,片剂,密封,详见说明书,散风清热，泻火止痛。用于风热上攻、肺胃热盛所致的头晕目眩，暴发火眼，牙齿疼痛，口舌生疮，咽喉肿痛，耳痛耳鸣、大便秘结，小便短赤。,尚不明确。,详见说明书,详见说明书,详见说明书,国药准字Z52020123
￥14.80,江中 健胃消食片64片成人 胃药 肠胃消化 健脾胃 消食健胃片 脾胃虚弱 胃胀气肚子胀气 食欲不振,1E+11,健胃消食片,24,（非处方药）中成药,片剂,密封,一次3片，一日3次,本品用于脾胃虚弱所致的食积，症见不思饮食、嗳腐酸臭、脘腹胀满；消化不良见上述证候者。,尚不明确。,未知,未知,尚不明确。,国药准字Z20013220
￥1.20,好立康   风油精   3ml/瓶,1.00074E+11,风油精,36,（非处方药）中成药,其他,密闭，置阴凉处。,详见说明书。,清凉，止痛，驱风，止痒。详见说明书且遵医嘱使用。,未知,未知,未知,未知,国药准字Z44023635
￥9.90,"金嗓子润喉片喉片2g*6片*2板/盒疏风清热，解毒利咽，芳香辟秽。适用于改善急性咽炎所致的咽喉肿痛,干燥灼热，声音嘶哑；",2943786,金嗓子喉片,36,（非处方药）中成药,片剂,"密封,置干燥处",详见说明书。,本品适用于改善急性咽炎所致的咽喉肿痛，干燥灼热，声音嘶哑。,详见说明书。,详见说明书。,详见说明书。,详见说明书。,国药准字B20020993
￥12.00,葵花 复方金银花颗粒 10g*10袋 清热解毒 凉血消肿 用于风热感冒 目痛 牙痛及痈肿疮疖,1.00003E+11,复方金银花颗粒,36,（非处方药）中成药,颗粒剂,密封。,详见说明书,清热解毒，凉血消肿。用于风热感冒，咽炎、扁桃体炎、目痛，牙痛及痈肿疮疖。,尚不明确。,未知,未知,尚不明确,国药准字Z20054660
￥13.50,快克 复方氨酚烷胺胶囊16粒 适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状,1.00016E+11,复方氨酚烷胺胶囊,36,（非处方药）化学药制剂,胶囊剂,密封，置阴凉（不超过20℃）干燥处。,口服，成人，一次1粒，一日2次。,本品用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状，也可用于流行性感冒的预防和治疗。,偶尔有轻度头晕、乏力、恶心、上腹不适、口干、食欲缺乏和皮疹等，可自行恢复。,未知,未知,严重肝肾功能不全者禁用。对本品过敏者禁用。,国药准字H46020636
￥3.70,百灵鸟 贵州百灵 黄连上清片0.3g*48片 清热泻火 止痛 头晕目眩 牙齿疼痛 口舌生疮 咽喉肿痛 耳鸣,1.00016E+11,黄连上清片,24,（非处方药）中成药,片剂,密封,详见说明书,散风清热，泻火止痛。用于风热上攻、肺胃热盛所致的头晕目眩，暴发火眼，牙齿疼痛，口舌生疮，咽喉肿痛，耳痛耳鸣、大便秘结，小便短赤。,尚不明确。,详见说明书,详见说明书,详见说明书,国药准字Z52020123
￥1.20,好立康   风油精   3ml/瓶,1.00074E+11,风油精,36,（非处方药）中成药,其他,密闭，置阴凉处。,详见说明书。,清凉，止痛，驱风，止痒。详见说明书且遵医嘱使用。,未知,未知,未知,未知,国药准字Z44023635
