,价格（￥）,名称,sku
0,￥9.90,"金嗓子润喉片喉片2g*6片*2板/盒疏风清热，解毒利咽，芳香辟秽。适用于改善急性咽炎所致的咽喉肿痛,干燥灼热，声音嘶哑；",2943786
1,￥13.50,快克 复方氨酚烷胺胶囊16粒 适用于缓解普通感冒及流行性感冒引起的发热、头痛、四肢酸痛、打喷嚏、流鼻涕、鼻塞、咽痛等症状,100016375708
2,￥12.00,葵花 复方金银花颗粒 10g*10袋 清热解毒 凉血消肿 用于风热感冒 目痛 牙痛及痈肿疮疖,100002877905
3,￥3.60,百灵鸟 贵州百灵 维C银翘片24片 感冒咳嗽 清热解毒 外感风热 流行性感冒 发热头痛 咳嗽口干 咽喉疼痛,3035514
4,￥1.20,好立康   风油精   3ml/瓶,100073514781
5,￥8.89,"
万润时黄素眼药水眼疲劳儿童成人滴眼液眼药水疲劳眼干眼涩视力模糊痒痒疲劳学生舒缓15g ",100071005155
6,￥14.80,江中 健胃消食片64片成人 胃药 肠胃消化 健脾胃 消食健胃片 脾胃虚弱 胃胀气肚子胀气 食欲不振,100000397899
7,￥3.70,百灵鸟 贵州百灵 黄连上清片0.3g*48片 清热泻火 止痛 头晕目眩 牙齿疼痛 口舌生疮 咽喉肿痛 耳鸣,100015758308
8,￥13.90,"已购买商品	
999 三九抗病毒口服液 10ml*10支  清热祛湿 凉血解毒 用于风热感冒 流感 合剂",100007508821
9,￥13.90,999三九感冒灵颗粒10g*9袋感冒药解热镇痛用于感冒引起的头痛发热鼻塞流涕咽痛,3142374
10,￥39.00,孚诺 复方多黏菌素B软膏10g支/盒,4908207
11,￥21.90,白云山 小柴胡颗粒 10克*10袋  解表散热 疏肝和胃 食欲不振 口苦咽干,2943738
12,￥9.90,白云山 感冒灵颗粒10g*9袋 解热镇痛 头痛 发热 鼻塞 流涕 咽痛,100013014544
13,￥14.40,999 三九板蓝根颗粒10g*20袋 清热解毒 凉血利咽 咽喉肿痛 急性扁桃体炎,3148922
14,￥1.60,新和成 福元 红霉素软膏1% *10g 用于脓疱疮等化脓性皮肤病、溃疡面的感染和寻常痤疮,7369875
15,￥13.90,999 三九感冒灵颗粒 10g*9袋解热镇痛用于感冒引起的头痛发热鼻塞流涕咽痛,100013796372
16,￥18.50,感康 复方氨酚烷胺片18片 成人感冒发热头痛鼻塞流涕打喷嚏咽痛含对乙酰氨基酚,8535660
17,￥12.00,白云山 小柴胡颗粒 10克*6袋（解表散热 疏肝和胃 食欲不振 口苦咽干）,100050210626
18,￥9.90,葵花 蒲地蓝消炎片 0.24g*40片 清热解毒 抗炎消肿 用于 疖肿 咽炎 扁桃腺炎,100034410985
19,￥13.50,北京同仁堂 六味地黄丸（水蜜丸）360丸 遗精盗汗腰膝酸软,100012145343
20,￥1.50,恒健 硝酸益康唑乳膏 10g:0.1g 10g  用于皮肤念珠菌病的治疗 亦可用于治疗体癣 股癣 足癣 花斑癣,8640294
21,￥26.00,"已购买商品	
右美舒坦 复方氢溴酸右美沙芬糖浆 100ml 白云山成人止咳糖浆感冒咳嗽化痰祛痰润喉咳嗽药支气管炎",100022329848
22,￥9.00,三清山 川贝枇杷糖浆 150m 清热宣肺化痰止咳  咳嗽痰黄 咽喉肿痛胸闷胀痛 感冒 支气管炎  咳嗽药止咳药,100035647806
23,￥10.80,以岭 连花清瘟胶囊 0.35g*24粒 连花清瘟 清瘟解毒 宣肺泄热 流行性感冒 发烧或发热头痛咳嗽,2943430
24,￥7.00,羚锐 壮骨麝香止痛膏7cm*10cm*10贴 祛风湿 活血止痛 用于风湿关节痛 肌肉痛 扭伤 膏药贴,3365302
25,￥12.00,999三九皮炎平复方醋酸地塞米松乳膏20g：15mg 20g 神经性皮炎接触性皮炎脂溢性皮炎慢性湿疹,100007662075
26,￥2.50,东北制药 维生素C片100mg*100片 预防坏血病急慢性传染疾病紫癜,3029091
27,￥1.20,福元  阿昔洛韦乳膏10克：0.3克（3%）*10g/支 用于单纯疱疹或带状疱疹感染,100011157605
28,￥2.00,蜀中 依科 维生素C片 0.1g*100片 用于预防坏血病 也可用于各种急慢性传染疾病及紫癜等的辅助治疗,100051194778
29,￥1.70,五洲 五洲 食母生片0.2g*80片,100016299153
30,￥34.80,罗每乐 盐酸阿莫罗芬乳膏脚气药止痒脱皮烂脚丫真菌感染止痒,5437317
31,￥8.89,"
万润时黄素眼药水眼疲劳儿童成人滴眼液眼药水疲劳眼干眼涩视力模糊痒痒疲劳学生舒缓15g ",100071005155
